H-1	TOT
9.126970E+06	1.014670E+00
9.634030E+06	9.683340E-01
1.000000E+07	9.369080E-01
1.014110E+07	9.257260E-01
1.028420E+07	9.143880E-01
1.042920E+07	9.028910E-01
1.050000E+07	8.972840E-01
1.057640E+07	8.916810E-01
1.064810E+07	8.864190E-01
1.072560E+07	8.807370E-01
1.079840E+07	8.754000E-01
1.087690E+07	8.696380E-01
1.095070E+07	8.642260E-01
1.100000E+07	8.606110E-01
1.103040E+07	8.585430E-01
1.115520E+07	8.500460E-01
1.118600E+07	8.479490E-01
1.131260E+07	8.393320E-01
1.134380E+07	8.372060E-01
1.147220E+07	8.284670E-01
1.150000E+07	8.265720E-01
1.150380E+07	8.263290E-01
1.166220E+07	8.162940E-01
1.166610E+07	8.160480E-01
1.182680E+07	8.058720E-01
1.183070E+07	8.056210E-01
1.199360E+07	7.953020E-01
1.199760E+07	7.950480E-01
1.200000E+07	7.948990E-01
1.216690E+07	7.850370E-01
1.216930E+07	7.848960E-01
1.233860E+07	7.748950E-01
1.234100E+07	7.747510E-01
1.250000E+07	7.653560E-01
1.267640E+07	7.556150E-01
1.285520E+07	7.457370E-01
1.300000E+07	7.377390E-01
1.303660E+07	7.358480E-01
1.318340E+07	7.282500E-01
1.322050E+07	7.263320E-01
1.336940E+07	7.186270E-01
1.340700E+07	7.166820E-01
1.350000E+07	7.118700E-01
1.359610E+07	7.072020E-01
1.369050E+07	7.026220E-01
1.378800E+07	6.978880E-01
1.388360E+07	6.932440E-01
1.398250E+07	6.884420E-01
1.400000E+07	6.875920E-01
1.417980E+07	6.796240E-01
1.419750E+07	6.788370E-01
1.437980E+07	6.707560E-01
1.439780E+07	6.699580E-01
1.458270E+07	6.617640E-01
1.460090E+07	6.609540E-01
1.478840E+07	6.526440E-01
1.480690E+07	6.518230E-01
1.499700E+07	6.433960E-01
1.500000E+07	6.432650E-01
1.520860E+07	6.350360E-01
1.521160E+07	6.349180E-01
1.542320E+07	6.265730E-01
1.542620E+07	6.264530E-01
1.564080E+07	6.179900E-01
1.564390E+07	6.178690E-01
1.586150E+07	6.092860E-01
1.586460E+07	6.091630E-01
1.600000E+07	6.038210E-01
1.608520E+07	6.008120E-01
1.622570E+07	5.958510E-01
1.631220E+07	5.927990E-01
1.645460E+07	5.877680E-01
1.654230E+07	5.846730E-01
1.668680E+07	5.795710E-01
1.677570E+07	5.764330E-01
1.692220E+07	5.712590E-01
1.700000E+07	5.685120E-01
1.701240E+07	5.681200E-01
1.723980E+07	5.608900E-01
1.725240E+07	5.604920E-01
1.748310E+07	5.531610E-01
1.749580E+07	5.527570E-01
1.772970E+07	5.453220E-01
1.774260E+07	5.449120E-01
1.797990E+07	5.373730E-01
1.799290E+07	5.369580E-01
1.800000E+07	5.367330E-01
1.824680E+07	5.296390E-01
1.825390E+07	5.294330E-01
1.850420E+07	5.222390E-01
1.851150E+07	5.220300E-01
1.876530E+07	5.147350E-01
1.877260E+07	5.145230E-01
1.900000E+07	5.079870E-01
1.926810E+07	5.009860E-01
1.953990E+07	4.938860E-01
1.981560E+07	4.866850E-01
2.000000E+07	4.818680E-01
END
H-1 NG
1.000000E-05	1.672880E+01
1.103040E-05	1.592830E+01
1.216690E-05	1.516610E+01
1.342060E-05	1.444040E+01
1.480340E-05	1.374940E+01
